iter	Passed	Remaining
0	3	330
1	6	307
2	9	315
3	12	303
4	15	292
5	18	286
6	23	310
7	26	299
8	30	309
9	39	353
10	41	332
11	42	313
12	44	297
13	46	285
14	48	273
15	49	261
16	53	259
17	55	251
18	56	242
19	58	233
20	60	227
21	62	220
22	64	214
23	65	207
24	68	205
25	70	199
26	71	193
27	73	188
28	74	183
29	76	178
30	77	173
31	79	169
32	81	165
33	84	163
34	85	159
35	87	155
36	90	153
37	91	149
38	93	146
39	94	142
40	97	140
41	99	137
42	101	134
43	102	131
44	104	127
45	106	124
46	107	121
47	109	118
48	110	115
49	113	113
50	115	110
51	117	108
52	118	105
53	120	102
54	121	99
55	123	97
56	125	94
57	129	94
58	132	92
59	134	89
60	136	87
61	138	84
62	139	82
63	142	80
64	144	77
65	145	75
66	147	72
67	148	70
68	150	67
69	151	65
70	153	62
71	155	60
72	158	58
73	160	56
74	161	53
75	163	51
76	164	49
77	165	46
78	167	44
79	168	42
80	170	40
81	173	37
82	174	35
83	176	33
84	177	31
85	179	29
86	180	27
87	182	24
88	183	22
89	186	20
90	188	18
91	189	16
92	191	14
93	192	12
94	195	10
95	198	8
96	202	6
97	205	4
98	207	2
99	209	0
